ActivityTypeCode,ActivityMediaName,TADA.ActivityMediaName,ActivityMediaSubdivisionName,ResultSampleFractionText,TADA.ResultSampleFractionText,CharacteristicName,TADA.CharacteristicName,SubjectTaxonomicName,SampleTissueAnatomyName,MethodSpeciationName,TADA.MethodSpeciationName,TADA.ComparableDataIdentifier,ActivityStartDate,ActivityStartTime.Time,ActivityStartTime.TimeZoneCode,ActivityStartDateTime,ResultMeasureValue,ResultMeasure.MeasureUnitCode,TADA.ResultMeasureValue,TADA.ResultMeasure.MeasureUnitCode,TADA.WQXResultUnitConversion,ResultValueTypeName,TADA.ResultMeasureValueDataTypes.Flag,ResultDetectionConditionText,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure.MeasureValue,DetectionQuantitationLimitMeasure.MeasureUnitCode,TADA.DetectionQuantitationLimitMeasure.MeasureValue,TADA.DetectionQuantitationLimitMeasure.MeasureUnitCode,TADA.DetectionQuantitationLimitMeasure.MeasureValueDataTypes.Flag,ResultDepthHeightMeasure.MeasureValue,TADA.ResultDepthHeightMeasure.MeasureValue,TADA.ResultDepthHeightMeasure.MeasureValueDataTypes.Flag,ResultDepthHeightMeasure.MeasureUnitCode,TADA.ResultDepthHeightMeasure.MeasureUnitCode,ResultDepthAltitudeReferencePointText,ActivityRelativeDepthName,ActivityDepthHeightMeasure.MeasureValue,TADA.ActivityDepthHeightMeasure.MeasureValue,TADA.ActivityDepthHeightMeasure.MeasureValueDataTypes.Flag,ActivityDepthHeightMeasure.MeasureUnitCode,TADA.ActivityDepthHeightMeasure.MeasureUnitCode,ActivityTopDepthHeightMeasure.MeasureValue,TADA.ActivityTopDepthHeightMeasure.MeasureValue,TADA.ActivityTopDepthHeightMeasure.MeasureValueDataTypes.Flag,ActivityTopDepthHeightMeasure.MeasureUnitCode,TADA.ActivityTopDepthHeightMeasure.MeasureUnitCode,ActivityBottomDepthHeightMeasure.MeasureValue,TADA.ActivityBottomDepthHeightMeasure.MeasureValue,TADA.ActivityBottomDepthHeightMeasure.MeasureValueDataTypes.Flag,ActivityBottomDepthHeightMeasure.MeasureUnitCode,TADA.ActivityBottomDepthHeightMeasure.MeasureUnitCode,ResultTimeBasisText,StatisticalBaseCode,ResultFileUrl,ResultAnalyticalMethod.MethodName,ResultAnalyticalMethod.MethodDescriptionText,ResultAnalyticalMethod.MethodIdentifier,ResultAnalyticalMethod.MethodIdentifierContext,ResultAnalyticalMethod.MethodUrl,SampleCollectionMethod.MethodIdentifier,SampleCollectionMethod.MethodIdentifierContext,SampleCollectionMethod.MethodName,SampleCollectionMethod.MethodDescriptionText,SampleCollectionEquipmentName,MeasureQualifierCode,ResultStatusIdentifier,ResultCommentText,ActivityCommentText,HydrologicCondition,HydrologicEvent,DataQuality.PrecisionValue,DataQuality.BiasValue,DataQuality.ConfidenceIntervalValue,DataQuality.UpperConfidenceLimitValue,DataQuality.LowerConfidenceLimitValue,SamplingDesignTypeCode,LaboratoryName,ResultLaboratoryCommentText,ResultIdentifier,ActivityIdentifier,OrganizationIdentifier,OrganizationFormalName,ProjectName,ProjectDescriptionText,ProjectIdentifier,ProjectFileUrl,QAPPApprovedIndicator,QAPPApprovalAgencyName,CountryCode,StateCode,CountyCode,MonitoringLocationName,TADA.MonitoringLocationName,MonitoringLocationTypeName,TADA.MonitoringLocationTypeName,MonitoringLocationDescriptionText,LatitudeMeasure,TADA.LatitudeMeasure,LongitudeMeasure,TADA.LongitudeMeasure,HorizontalCoordinateReferenceSystemDatumName,HUCEightDigitCode,MonitoringLocationIdentifier,TADA.MonitoringLocationIdentifier,AquiferName,AquiferTypeName,LocalAqfrName,ConstructionDateText,WellDepthMeasure.MeasureValue,WellDepthMeasure.MeasureUnitCode,WellHoleDepthMeasure.MeasureValue,WellHoleDepthMeasure.MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityEndDate,ActivityEndTime.Time,ActivityEndTime.TimeZoneCode,ActivityConductingOrganizationText,SampleAquifer,ActivityLocation.LatitudeMeasure,ActivityLocation.LongitudeMeasure,ResultWeightBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,USGSPCode,BinaryObjectFileName,BinaryObjectFileTypeCode,AnalysisStartDate,ResultDetectionQuantitationLimitUrl,LabSamplePreparationUrl,ActivityStartTime.TimeZoneCode_offset,SourceMapScaleNumeric,HorizontalAccuracyMeasure.MeasureValue,HorizontalAccuracyMeasure.MeasureUnitCode,HorizontalCollectionMethodName,VerticalMeasure.MeasureValue,VerticalMeasure.MeasureUnitCode,VerticalAccuracyMeasure.MeasureValue,VerticalAccuracyMeasure.MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,FormationTypeText,ProjectMonitoringLocationWeightingUrl,DrainageAreaMeasure.MeasureValue,DrainageAreaMeasure.MeasureUnitCode,ContributingDrainageAreaMeasure.MeasureValue,ContributingDrainageAreaMeasure.MeasureUnitCode,ProviderName,LastUpdated,TADA.Remove
Sample-Routine,Water,WATER,Surface Water,Dissolved,DISSOLVED,Nitrate,NITRATE,,,,,NITRATE_DISSOLVED_NA_NA,10/1/2020,13:15:00,MDT,10/1/2020 19:15,,,,,No Result Value,Actual,NA - Not Available,Not Detected,Historical Lower Reporting Limit,0.04,mg/l as N,0.04,MG/L,Numeric,,,NA - Not Available,,,,,,,NA - Not Available,,,,,NA - Not Available,,,,,NA - Not Available,,,,,,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7",ALGOR,USGS,,10,USGS parameter code 82398,Equal width increment (ewi),,US DH-95 plastic bottle,,Accepted,,,"Stable, normal stage",Routine sample,,,,,,,,,NWIS-119845936,nwisut.01.02100015,USGS-UT,USGS Utah Water Science Center,,,,,,,US,49,3,,,"Lake, Reservoir, Impoundment","LAKE, RESERVOIR, IMPOUNDMENT",,41.2208611,41.2208611,-112.7663889,-112.7663889,NAD83,16020310,USGS-10010025,USGS-10010025,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,,,,,,618,,,,,,6,24000,0.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),4216.93,feet,0.1,feet,Reported method of determination.,NAVD88,,,,,,,NWIS,,FALSE
Sample-Routine,Water,WATER,Surface Water,Suspended,SUSPENDED,Nitrogen,NITROGEN,,,,,NITROGEN_SUSPENDED_NA_MG/L,10/1/2020,13:15:00,MDT,10/1/2020 19:15,0.238,mg/l,0.238,MG/L,Convert,Actual,Numeric,,Long Term Method Detection Level,0.03,mg/l,0.03,MG/L,Numeric,,,NA - Not Available,,,,,,,NA - Not Available,,,,,NA - Not Available,,,,,NA - Not Available,,,,,,"TPN, GF/F, combusion",,COMB7,USGS,,10,USGS parameter code 82398,Equal width increment (ewi),,US DH-95 plastic bottle,,Accepted,,,"Stable, normal stage",Routine sample,,,,,,,"USGS-National Water Quality Lab, Denver, CO",,NWIS-119845946,nwisut.01.02100015,USGS-UT,USGS Utah Water Science Center,,,,,,,US,49,3,,,"Lake, Reservoir, Impoundment","LAKE, RESERVOIR, IMPOUNDMENT",,41.2208611,41.2208611,-112.7663889,-112.7663889,NAD83,16020310,USGS-10010025,USGS-10010025,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,,,,,,49570,,,11/20/2020,,,6,24000,0.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),4216.93,feet,0.1,feet,Reported method of determination.,NAVD88,,,,,,,NWIS,,FALSE
Sample-Routine,Water,WATER,Surface Water,Dissolved,DISSOLVED,Nitrate,NITRATE,,,,,NITRATE_DISSOLVED_NA_NA,10/1/2020,13:15:00,MDT,10/1/2020 19:15,,,,,No Result Value,Actual,NA - Not Available,Not Detected,Historical Lower Reporting Limit,0.177,mg/l asNO3,0.177,MG/L,Numeric,,,NA - Not Available,,,,,,,NA - Not Available,,,,,NA - Not Available,,,,,NA - Not Available,,,,,,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7",ALGOR,USGS,,10,USGS parameter code 82398,Equal width increment (ewi),,US DH-95 plastic bottle,,Accepted,,,"Stable, normal stage",Routine sample,,,,,,,,,NWIS-119845952,nwisut.01.02100015,USGS-UT,USGS Utah Water Science Center,,,,,,,US,49,3,,,"Lake, Reservoir, Impoundment","LAKE, RESERVOIR, IMPOUNDMENT",,41.2208611,41.2208611,-112.7663889,-112.7663889,NAD83,16020310,USGS-10010025,USGS-10010025,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,,,,,,71851,,,,,,6,24000,0.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),4216.93,feet,0.1,feet,Reported method of determination.,NAVD88,,,,,,,NWIS,,FALSE
Sample-Routine,Water,WATER,Surface Water,Dissolved,DISSOLVED,Nitrate,NITRATE,,,,,NITRATE_DISSOLVED_NA_NA,10/1/2020,13:20:00,MDT,10/1/2020 19:20,,,,,No Result Value,Actual,NA - Not Available,Not Detected,Historical Lower Reporting Limit,0.04,mg/l as N,0.04,MG/L,Numeric,,,NA - Not Available,,,,,,,NA - Not Available,,,,,NA - Not Available,,,,,NA - Not Available,,,,,,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7",ALGOR,USGS,,40,USGS parameter code 82398,Multiple verticals,,US DH-95 plastic bottle,,Accepted,,,"Stable, normal stage",Routine sample,,,,,,,,,NWIS-119847341,nwisut.01.02100014,USGS-UT,USGS Utah Water Science Center,,,,,,,US,49,3,,,"Lake, Reservoir, Impoundment","LAKE, RESERVOIR, IMPOUNDMENT",,41.2208611,41.2208611,-112.7663889,-112.7663889,NAD83,16020310,USGS-10010026,USGS-10010026,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,,,,,,618,,,,,,6,,0.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),4216.93,feet,0.1,feet,Reported method of determination.,NAVD88,,,,,,,NWIS,,FALSE
Sample-Routine,Water,WATER,Surface Water,Suspended,SUSPENDED,Nitrogen,NITROGEN,,,,,NITROGEN_SUSPENDED_NA_MG/L,10/1/2020,13:20:00,MDT,10/1/2020 19:20,2.22,mg/l,2.22,MG/L,Convert,Actual,Numeric,,Long Term Method Detection Level,0.03,mg/l,0.03,MG/L,Numeric,,,NA - Not Available,,,,,,,NA - Not Available,,,,,NA - Not Available,,,,,NA - Not Available,,,,,,"TPN, GF/F, combusion",,COMB7,USGS,,40,USGS parameter code 82398,Multiple verticals,,US DH-95 plastic bottle,,Accepted,,,"Stable, normal stage",Routine sample,,,,,,,"USGS-National Water Quality Lab, Denver, CO",,NWIS-119847351,nwisut.01.02100014,USGS-UT,USGS Utah Water Science Center,,,,,,,US,49,3,,,"Lake, Reservoir, Impoundment","LAKE, RESERVOIR, IMPOUNDMENT",,41.2208611,41.2208611,-112.7663889,-112.7663889,NAD83,16020310,USGS-10010026,USGS-10010026,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,,,,,,49570,,,11/20/2020,,,6,,0.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),4216.93,feet,0.1,feet,Reported method of determination.,NAVD88,,,,,,,NWIS,,FALSE
Sample-Routine,Water,WATER,Surface Water,Dissolved,DISSOLVED,Nitrate,NITRATE,,,,,NITRATE_DISSOLVED_NA_NA,10/1/2020,13:20:00,MDT,10/1/2020 19:20,,,,,No Result Value,Actual,NA - Not Available,Not Detected,Historical Lower Reporting Limit,0.177,mg/l asNO3,0.177,MG/L,Numeric,,,NA - Not Available,,,,,,,NA - Not Available,,,,,NA - Not Available,,,,,NA - Not Available,,,,,,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7",ALGOR,USGS,,40,USGS parameter code 82398,Multiple verticals,,US DH-95 plastic bottle,,Accepted,,,"Stable, normal stage",Routine sample,,,,,,,,,NWIS-119847355,nwisut.01.02100014,USGS-UT,USGS Utah Water Science Center,,,,,,,US,49,3,,,"Lake, Reservoir, Impoundment","LAKE, RESERVOIR, IMPOUNDMENT",,41.2208611,41.2208611,-112.7663889,-112.7663889,NAD83,16020310,USGS-10010026,USGS-10010026,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,,,,,,71851,,,,,,6,,0.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),4216.93,feet,0.1,feet,Reported method of determination.,NAVD88,,,,,,,NWIS,,FALSE
Sample-Routine,Water,WATER,Surface Water,Dissolved,DISSOLVED,Nitrate,NITRATE,,,,AS N,NITRATE_DISSOLVED_AS N_MG/L,10/14/2020,14:00:00,MDT,10/14/2020 20:00,0.244,mg/l as N,0.244,MG/L,Convert,Actual,Numeric,,,,,,,NA - Not Available,,,NA - Not Available,,,,,,,NA - Not Available,,,,,NA - Not Available,,,,,NA - Not Available,,,,,,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7",ALGOR,USGS,,40,USGS parameter code 82398,Multiple verticals,,US DH-81,,Accepted,,,"Stable, normal stage",Routine sample,,,,,,,,,NWIS-119948380,nwisut.01.02100128,USGS-UT,USGS Utah Water Science Center,,,National Water Quality Assessment Program (NAWQA),,,,US,49,35,,,Stream,STREAM,,40.66430556,40.66430556,-111.898861,-111.898861,NAD83,16020204,USGS-10168000,USGS-10168000,,,,,,,,,,,,,U.S. Geological Survey,,,,,,,618,,,,,,6,,1,seconds,Interpolated from Digital MAP.,4254.24,feet,0.13,feet,GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System,NAVD88,,,46,sq mi,,,NWIS,,FALSE
Sample-Routine,Water,WATER,Surface Water,Suspended,SUSPENDED,Nitrogen,NITROGEN,,,,,NITROGEN_SUSPENDED_NA_MG/L,10/14/2020,14:00:00,MDT,10/14/2020 20:00,0.138,mg/l,0.138,MG/L,Convert,Actual,Numeric,,Long Term Method Detection Level,0.03,mg/l,0.03,MG/L,Numeric,,,NA - Not Available,,,,,,,NA - Not Available,,,,,NA - Not Available,,,,,NA - Not Available,,,,,,"TPN, GF/F, combusion",,COMB7,USGS,,40,USGS parameter code 82398,Multiple verticals,,US DH-81,,Accepted,,,"Stable, normal stage",Routine sample,,,,,,,"USGS-National Water Quality Lab, Denver, CO",,NWIS-119948415,nwisut.01.02100128,USGS-UT,USGS Utah Water Science Center,,,National Water Quality Assessment Program (NAWQA),,,,US,49,35,,,Stream,STREAM,,40.66430556,40.66430556,-111.898861,-111.898861,NAD83,16020204,USGS-10168000,USGS-10168000,,,,,,,,,,,,,U.S. Geological Survey,,,,,,,49570,,,11/25/2020,,,6,,1,seconds,Interpolated from Digital MAP.,4254.24,feet,0.13,feet,GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System,NAVD88,,,46,sq mi,,,NWIS,,FALSE
Sample-Routine,Water,WATER,Surface Water,Dissolved,DISSOLVED,Nitrate,NITRATE,,,,AS NO3,NITRATE_DISSOLVED_AS NO3_MG/L,10/14/2020,14:00:00,MDT,10/14/2020 20:00,1.08,mg/l asNO3,1.08,MG/L,Convert,Actual,Numeric,,,,,,,NA - Not Available,,,NA - Not Available,,,,,,,NA - Not Available,,,,,NA - Not Available,,,,,NA - Not Available,,,,,,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7",ALGOR,USGS,,40,USGS parameter code 82398,Multiple verticals,,US DH-81,,Accepted,,,"Stable, normal stage",Routine sample,,,,,,,,,NWIS-119948507,nwisut.01.02100128,USGS-UT,USGS Utah Water Science Center,,,National Water Quality Assessment Program (NAWQA),,,,US,49,35,,,Stream,STREAM,,40.66430556,40.66430556,-111.898861,-111.898861,NAD83,16020204,USGS-10168000,USGS-10168000,,,,,,,,,,,,,U.S. Geological Survey,,,,,,,71851,,,,,,6,,1,seconds,Interpolated from Digital MAP.,4254.24,feet,0.13,feet,GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System,NAVD88,,,46,sq mi,,,NWIS,,FALSE
Sample-Routine,Water,WATER,Surface Water,Dissolved,DISSOLVED,Nitrate,NITRATE,,,,AS N,NITRATE_DISSOLVED_AS N_MG/L,10/14/2020,11:00:00,MDT,10/14/2020 17:00,4,mg/l as N,4,MG/L,Convert,Actual,Numeric,,,,,,,NA - Not Available,,,NA - Not Available,,,,,,,NA - Not Available,,,,,NA - Not Available,,,,,NA - Not Available,,,,,,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7",ALGOR,USGS,,10,USGS parameter code 82398,Equal width increment (ewi),,US DH-81,,Accepted,,,"Stable, normal stage",Routine sample,,,,,,,,,NWIS-119948564,nwisut.01.02100129,USGS-UT,USGS Utah Water Science Center,,,National Water Quality Assessment Program (NAWQA),,,,US,49,35,,,Stream,STREAM,,40.73355737,40.73355737,-111.9232703,-111.9232703,NAD83,16020204,USGS-10171000,USGS-10171000,,,,,,,,,,,,,U.S. Geological Survey,,,,,,,618,,,,,,6,,5,seconds,Interpolated from MAP.,4222.64,feet,0.13,feet,GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System,NAVD88,,,3438,sq mi,3183,sq mi,NWIS,,FALSE
