"MonitoringLocationIdentifier","MonitoringLocationName","MonitoringLocationTypeName","State","AU_ID","AU_NAME","Dist_to_AU_m","LongitudeMeasure","LatitudeMeasure"
"USGS-481430109563601","Williamson Reservoir site WR01, near Box Elder, MT","Lake","Montana","MT40F005_010","Fresno Reservoir",39345.1988530947,-109.943300000002,48.2417388900013
"USGS-481758109512401","Boneau Reservoir site BR01, near Rocky Boy, MT","Lake","Montana","MT40F005_010","Fresno Reservoir",33771.9283405148,-109.856636100002,48.2993222000013
"USGS-481759109513201","Boneau Reservoir site BR02, near Rocky Boy, MT","Lake","Montana","MT40F005_010","Fresno Reservoir",33701.8419598632,-109.858991700002,48.2996277800013
"USGS-481800109513901","Boneau Reservoir site BR03, near Rocky Boy, MT","Lake","Montana","MT40F005_010","Fresno Reservoir",33641.2585866851,-109.860713900002,48.2999416700013
"1119USBR_WQX-JAC001","JACKSON Lake,700 FT U/S OF DAM,SOUTHBANK","Lake","Wyoming","ID17040203SK007_02L","Ernest Lake",40314.6694380664,-110.590000000002,43.8566667000015
"1119USBR_WQX-JAC002","Signal Marina North","Lake","Wyoming","ID17040203SK007_02L","Ernest Lake",39415.3586158576,-110.611000100002,43.8466988000014
"1119USBR_WQX-JAC006","Colter South Dock","Lake","Wyoming","ID17040203SK007_02L","Ernest Lake",34186.4797884932,-110.644500000002,43.9004400000015
"1119USBR_WQX-JAC007","Colter North Dock","Lake","Wyoming","ID17040203SK007_02L","Ernest Lake",34094.4383289228,-110.644816100002,43.9018929700014
"1119USBR_WQX-JAC011","Leeks Marina North","Lake","Wyoming","ID17040203SK007_02L","Ernest Lake",32901.9918677255,-110.642997700002,43.9332008000015
"1119USBR_WQX-JAC014","Inlet Arizona Island","Lake","Wyoming","ID17040203SK007_02L","Ernest Lake",28853.9715116496,-110.692300000002,43.9417500000014
"1119USBR_WQX-JAC015","Moran Bay","Lake","Wyoming","ID17040203SK007_02L","Ernest Lake",31598.5688731776,-110.717521500002,43.8586021400015
"1119USBR_WQX-MIN001","GRASSY 100M ABOVE DAM","Lake","Wyoming","ID17040203SK007_02L","Ernest Lake",20297.4292220001,-110.815000000002,44.1291667000014
"11NPSWRD_WQX-GRTE_CBSB","Colter Bay Swim Beach","Lake","Wyoming","ID17040203SK007_02L","Ernest Lake",33695.0679728824,-110.647757700002,43.9058365000015
"11NPSWRD_WQX-GRTE_JLO","Jenny Lake Outlet","Lake","Wyoming","ID17040203SK007_02L","Ernest Lake",39590.5882867716,-110.725686800002,43.7514850600014
"11NPSWRD_WQX-GRTE_LCBL","Lizard Creek Boat Launch","Lake","Wyoming","ID17040203SK007_02L","Ernest Lake",27316.0173137317,-110.691591700002,44.0013641100015
"11NPSWRD_WQX-GRTE_PLJR","Phelps Lake Jump Rock","Lake","Wyoming","ID17040104SK010L_0L","Palisades Reservoir",46442.572949549,-110.793259200002,43.6484635600015
"11NPSWRD_WQX-GRTE_SLBL","String Lake Boat Launch","Lake","Wyoming","ID17040203SK007_02L","Ernest Lake",36396.4791453125,-110.731137000002,43.7854697800014
"11NPSWRD_WQX-GRTE_SLSB","String Lake Swim Beach","Lake","Wyoming","ID17040203SK007_02L","Ernest Lake",36063.6181395115,-110.731866500002,43.7889900200015
"11NPSWRD_WQX-GRTE_SMM","Signal Mountain Marina","Lake","Wyoming","ID17040203SK007_02L","Ernest Lake",39460.8432503548,-110.612575300002,43.8440882300014
"11NPSWRD_WQX-GRTE_SMSB","Signal Mountain Swim Beach","Lake","Wyoming","ID17040203SK007_02L","Ernest Lake",39492.7284555531,-110.616933900002,43.8386192000015
"11NPSWRD_WQX-YELL_YSL_003","Yellowstone Lake Shoreline KM 3","Lake","Wyoming","MT41F005_010","Hebgen Lake",59401.9344630508,-110.491064200002,44.4361766000014
"11NPSWRD_WQX-YELL_YSL_006","Yellowstone Lake Shoreline KM 6","Lake","Wyoming","ID17040203SK007_02L","Ernest Lake",59805.9536906514,-110.500337300002,44.4123349000014
"11NPSWRD_WQX-YELL_YSL_009","Yellowstone Lake Shoreline KM 9","Lake","Wyoming","ID17040203SK007_02L","Ernest Lake",57097.7412399074,-110.522744200002,44.3939319000014
"11NPSWRD_WQX-YELL_YSL_012","Yellowstone Lake Shoreline KM 12","Lake","Wyoming","ID17040203SK007_02L","Ernest Lake",55294.6715552769,-110.554721800002,44.3937156000014
"11NPSWRD_WQX-YELL_YSL_021","Yellowstone Lake Shoreline KM 21","Lake","Wyoming","MT41F005_010","Hebgen Lake",53999.0403433577,-110.567409000002,44.4421556500015
"11NPSWRD_WQX-YELL_YSL_023","Yellowstone Lake Shoreline KM 23","Lake","Wyoming","MT41F005_010","Hebgen Lake",53869.4121876651,-110.562295700002,44.4493830000015
"11NPSWRD_WQX-YELL_YSL_025","Yellowstone Lake Shoreline KM 25","Lake","Wyoming","MT41F005_010","Hebgen Lake",53396.9707565546,-110.555252000002,44.4645550000014
"11NPSWRD_WQX-YELL_YSL_027","Yellowstone Lake Shoreline KM 27","Lake","Wyoming","MT41F005_010","Hebgen Lake",55030.5615185208,-110.525835200002,44.4705654500015
"11NPSWRD_WQX-YELL_YSL_029","Yellowstone Lake Shoreline KM 29","Lake","Wyoming","MT41F005_010","Hebgen Lake",55972.7968414451,-110.516644300002,44.4650652000014
"UTAHDWQ_WQX-4938640","FLAMING GORGE RES BL BUCKBOARD","Lake","Wyoming","UT14040106-012_03","Flaming Gorge Tributaries-3",23744.5159925818,-109.534580000002,41.2049600000016
"11NPSWRD_WQX-YELL_YSL_045","Yellowstone Lake Shoreline KM 45","Lake","Wyoming","MT41F005_010","Hebgen Lake",58862.9264419454,-110.433382300002,44.5259022000014
"11NPSWRD_WQX-YELL_YSL_052","Yellowstone Lake Shoreline KM 52","Lake","Wyoming","MT41F005_010","Hebgen Lake",59153.9382528346,-110.420914800002,44.5416060000015
"11NPSWRD_WQX-YELL_YSL_041","Yellowstone Lake Shoreline KM 41","Lake","Wyoming","MT41F005_010","Hebgen Lake",61031.7413908671,-110.419490200002,44.4996592000014
"11NPSWRD_WQX-YELL_YSL_065","Yellowstone Lake Shoreline KM 65","Lake","Wyoming","MT43D003_110","Big Moose Lake",65847.2325267834,-110.290544000002,44.5427335000014
"11NPSWRD_WQX-YELL_YSL_067","Yellowstone Lake Shoreline KM 67","Lake","Wyoming","MT43D003_110","Big Moose Lake",67355.8728010712,-110.297800100002,44.5294907000014
"11NPSWRD_WQX-YELL_YSL_077","Yellowstone Lake Shoreline KM 77","Lake","Wyoming","MT41F005_010","Hebgen Lake",72193.2590816285,-110.290301800002,44.4605066000014
